CODE,NAME
S50311,"PT KAIFA INDONESIA (JAKARTA)"
S50312,"PT INDAH WINA PRODUCTIONS (PKP)"
S50313,"AZUROUS INC.DBA CABEAU"
S50314,"BE RELAX"
S50315,"PT POS INDONESIA"
S50316,"PT PRATAMA AGUNG NIAGA (REDBULL)"
S50317,"CV LAPIS BALI GEMILANG"
S50318,"PT. DISTRIBUSI SURYA KENCANA"
S50319,"PT PANEN ARTHA NUSA (REDBULL JAKARTA)"
S50320,"PT BINTANG BALI INDAH (JTI)"
S50321,"GORO GORO KARE BALI"
S50322,"PT ANUGRAH JAYA USAHA"
S50323,"PT BORWITA CITRA PRIMA (RECKIT)"
S50324,"PT AROMADUTA RASAPRIMA"
S50325,"PT SARI INDO RASA (BALI)"
S50326,"PT SARI INDO RASA"
S50327,"KORA TOTE BAG"
S50329,"BAKEAHOLIC"
S50330,"PT MAXINDO KARYA ANUGERAH PKP BALI"
S50331,"PT SENTRALSARI PRIMASENTOSA"
S50332,"PT ASIA PARAMITA INDAH (JAKARTA)"
S50333,"PT ASIA PARAMITA INDAH (BALI)"
S50334,"PT DATASCRIP"
S50335,"PT BALI KOKOA INTERNASIONAL (BALI)"
S50336,"PT BALI KOKOA INTERNASIONAL (JAKARTA)"
S50337,"PT MITRA JAYA PERSADA"
S50338,"KIMCHI SOUVENIR"
S50339,"PT UNIRAMA DUTA NIAGA (PASEO JKT)"
S50340,"HARPERCOLLINS PUBLISHERS LIMITED"
S50341,"PT LINTAS GLOBAL OASE"
S50342,"PT PANGERAN MAJU BAHAGIA"
S50343,"PT CATUR PILAR SEJAHTERA"
S50344,"PT CITRA ALAM BALI (KURA-KURA BEER JKT)"
S50345,"AR BALI (ACCESSORIES JAKARTA)"
S50346,"PT LOVINA BEACH BREWERY (BALI SIP)"
S50347,"TATWA MEDIA"
S50348,"PT DELTA PUSAKA INDAH (UNILAB)"
S50349,"TROVICA"
S50350,"HANS TOY (JUN HO)"
S50351,"GARNET CAKES (BALI)"
S50352,"RUMAH DURIAN KO MADHE"
S50353,"DEAF AUTHENTIC"
S50354,"PT INTERFOOD SUKSES JASINDO"
S50355,"PT HANJAYA MANDALA SAMPOERNA TBK (JAKARTA)"
S50356,"PT SURYA MADISTRINDO (JAKARTA)"
S50357,"PT SUMBER CIPTA MULTINIAGA (JAKARTA)"
S50358,"PT NIAGA WARNA PERSADA"
S50359,"PT KARYA KIRANA SEMPURNA"
S50360,"CV RAJAWALI BOGA SEJAHTERA"
S50362,"PT WINGS SURYA"
